<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.05.05	2048.92	2052.97	1999.49	2016.47	103561	0	7
2023.05.08	2016.37	2029.35	2014.12	2021.12	76727	0	7
2023.05.09	2020.78	2037.60	2019.46	2034.52	109167	0	7
2023.05.10	2034.20	2048.16	2021.44	2031.00	103372	0	7
2023.05.11	2029.80	2041.21	2011.10	2014.55	129363	0	7
2023.05.12	2015.14	2022.52	2000.87	2010.81	110226	0	7
2023.05.15	2008.56	2022.18	2008.56	2015.87	82009	0	7
2023.05.16	2016.36	2018.37	1985.47	1989.25	98476	0	7
2023.05.17	1988.23	1993.05	1975.05	1981.96	112792	0	7
2023.05.18	1982.24	1985.95	1951.94	1957.36	101284	0	7
2023.05.19	1958.20	1984.15	1953.97	1977.06	121560	0	7
2023.05.22	1978.02	1982.57	1968.83	1971.81	92938	0	7
2023.05.23	1971.67	1977.69	1954.21	1974.64	110858	0	7
2023.05.24	1976.42	1985.20	1956.72	1957.81	104404	0	7
2023.05.25	1958.38	1964.70	1938.79	1940.21	102981	0	7
2023.05.26	1941.03	1957.26	1936.68	1946.73	94467	0	7
2023.05.29	1942.98	1949.68	1940.25	1943.69	46269	0	7
2023.05.30	1942.94	1963.53	1932.01	1959.80	102059	0	7
2023.05.31	1958.74	1974.72	1953.67	1963.06	102545	0	7
2023.06.01	1963.38	1983.09	1953.32	1977.76	95748	0	7
2023.06.02	1977.00	1983.39	1947.93	1947.98	95229	0	7
2023.06.05	1947.35	1964.04	1938.09	1961.27	113610	0	7
2023.06.06	1961.24	1966.38	1954.36	1963.03	124261	0	7
2023.06.07	1963.13	1970.17	1939.86	1940.51	88494	0	7
2023.06.08	1940.08	1970.47	1940.08	1965.55	88156	0	7
2023.06.09	1966.02	1972.94	1956.64	1960.82	72971	0	7
2023.06.12	1959.48	1966.93	1949.17	1956.79	81255	0	7
2023.06.13	1957.04	1971.09	1940.03	1943.18	96562	0	7
2023.06.14	1943.51	1960.12	1939.96	1940.40	102820	0	7
2023.06.15	1943.55	1960.27	1924.59	1957.88	117315	0	7
2023.06.16	1957.43	1967.88	1953.19	1957.76	111333	0	7
2023.06.19	1958.44	1958.73	1947.79	1950.34	51457	0	7
2023.06.20	1951.33	1956.77	1929.80	1935.65	103719	0	7
2023.06.21	1936.40	1939.48	1919.12	1932.10	102185	0	7
2023.06.22	1933.33	1934.93	1912.40	1912.93	93005	0	7
2023.06.23	1914.16	1937.32	1910.16	1919.73	95379	0	7
2023.06.26	1923.24	1933.33	1921.48	1923.35	91164	0	7
2023.06.27	1923.74	1930.68	1910.97	1913.29	95766	0	7
2023.06.28	1914.55	1917.19	1902.83	1906.88	91490	0	7
2023.06.29	1907.78	1913.07	1892.95	1908.30	103378	0	7
2023.06.30	1908.71	1922.75	1900.47	1918.83	97812	0	7
2023.07.03	1918.39	1931.03	1910.04	1921.62	81032	0	7
2023.07.04	1921.12	1930.74	1919.87	1925.72	48983	0	7
2023.07.05	1926.16	1935.07	1915.20	1915.28	95221	0	7
