<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.05.06	4167.63	4205.83	4149.70	4205.83	29390	0	0
2021.05.07	4205.93	4240.80	4200.25	4236.18	21487	0	0
2021.05.10	4235.48	4246.55	4181.38	4182.88	22129	0	0
2021.05.11	4186.43	4194.25	4112.80	4147.93	46474	0	0
2021.05.12	4148.98	4158.55	4059.20	4060.08	52643	0	0
2021.05.13	4061.83	4133.90	4036.65	4116.03	53129	0	0
2021.05.14	4118.78	4185.10	4112.35	4180.48	29662	0	0
2021.05.17	4177.03	4185.60	4143.60	4167.73	37705	0	0
2021.05.18	4165.78	4185.85	4118.48	4120.48	23143	0	0
2021.05.19	4120.18	4128.75	4061.95	4113.73	49209	0	0
2021.05.20	4112.98	4174.70	4090.05	4159.83	27099	0	0
2021.05.21	4158.03	4190.35	4152.60	4162.23	26050	0	0
2021.05.24	4156.63	4211.20	4147.70	4204.08	18250	0	0
2021.05.25	4204.63	4217.70	4184.45	4191.83	20905	0	0
2021.05.26	4193.38	4209.20	4185.70	4198.83	16937	0	0
2021.05.27	4197.48	4215.58	4182.55	4215.08	19762	0	0
2021.05.28	4215.13	4222.20	4205.95	4208.08	13887	0	0
2021.05.31	4210.63	4214.95	4194.45	4195.70	7793	0	0
2021.06.01	4197.53	4234.35	4197.53	4202.73	16905	0	0
2021.06.02	4201.88	4218.95	4194.95	4209.33	17578	0	0
2021.06.03	4211.43	4216.75	4168.75	4194.63	21086	0	0
2021.06.04	4194.93	4235.05	4180.50	4230.18	16932	0	0
2021.06.07	4233.73	4235.85	4217.30	4229.98	14203	0	0
2021.06.08	4230.68	4240.00	4209.25	4227.13	16300	0	0
2021.06.09	4228.58	4238.15	4220.40	4225.03	12334	0	0
2021.06.10	4225.38	4251.70	4210.45	4242.08	17229	0	0
2021.06.11	4242.28	4250.60	4233.85	4248.23	11084	0	0
2021.06.14	4250.33	4260.25	4235.85	4257.63	10576	0	0
2021.06.15	4257.48	4269.80	4240.05	4250.93	12010	0	0
2021.06.16	4249.58	4253.15	4203.53	4215.03	19966	0	0
2021.06.17	4215.48	4233.80	4194.55	4225.93	26501	0	0
2021.06.18	4226.43	4231.25	4153.93	4154.18	30595	0	0
2021.06.21	4155.13	4231.08	4138.45	4231.08	30166	0	0
2021.06.22	4230.13	4256.80	4217.55	4249.68	18025	0	0
2021.06.23	4249.23	4259.80	4242.30	4244.43	14886	0	0
2021.06.24	4244.83	4272.78	4243.33	4272.53	12546	0	0
2021.06.25	4272.98	4287.80	4264.80	4285.68	12158	0	0
2021.06.28	4287.48	4293.15	4275.80	4291.90	12857	0	0
2021.06.29	4291.18	4301.75	4282.50	4296.05	12246	0	0
2021.06.30	4296.58	4305.15	4280.40	4304.65	14289	0	0
2021.07.01	4304.78	4322.85	4297.10	4320.85	13383	0	0
2021.07.02	4319.53	4357.15	4318.60	4348.60	12920	0	0
2021.07.05	4350.28	4356.35	4343.60	4351.85	7605	0	0
2021.07.06	4352.43	4358.70	4316.45	4339.45	17420	0	0
2021.07.07	4339.13	4363.75	4331.45	4362.50	19872	0	0
2021.07.08	4362.03	4362.10	4289.65	4320.60	36218	0	0
2021.07.09	4321.03	4373.85	4303.85	4371.85	20713	0	0
2021.07.12	4374.35	4389.10	4352.35	4386.60	16394	0	0
2021.07.13	4386.35	4394.30	4367.30	4369.60	16420	0	0
2021.07.14	4370.10	4394.35	4360.10	4377.10	18760	0	0
2021.07.15	4375.65	4379.90	4342.40	4356.65	24221	0	0
2021.07.16	4357.90	4377.65	4324.15	4328.65	22993	0	0
2021.07.19	4329.53	4330.15	4233.90	4269.65	43113	0	0
2021.07.20	4271.45	4338.25	4262.70	4327.75	28776	0	0
2021.07.21	4328.25	4363.25	4319.25	4363.00	22765	0	0
2021.07.22	4362.95	4380.20	4350.70	4379.20	17043	0	0
2021.07.23	4379.75	4416.50	4376.25	4407.25	13066	0	0
2021.07.26	4409.25	4425.50	4384.50	4424.00	20184	0	0
2021.07.27	4423.25	4423.50	4373.50	4392.63	30579	0	0
2021.07.28	4392.00	4416.50	4387.25	4401.00	32791	0	0
2021.07.29	4401.13	4431.30	4389.30	4405.30	17802	0	0
2021.07.30	4406.50	4413.25	4379.25	4403.50	27251	0	0
2021.08.02	4408.10	4428.10	4385.85	4391.85	22227	0	0
2021.08.03	4391.35	4425.35	4373.85	4417.60	23689	0	0
2021.08.04	4420.53	4423.65	4400.15	4404.90	17373	0	0
2021.08.05	4404.70	4431.20	4402.45	4429.70	12227	0	0
2021.08.06	4428.23	4441.10	4424.10	4437.15	13102	0	0
2021.08.09	4436.78	4440.45	4421.15	4434.70	13801	0	0
2021.08.10	4436.45	4446.70	4425.20	4438.00	12743	0	0
2021.08.11	4438.30	4451.80	4429.55	4450.05	13683	0	0
2021.08.12	4447.35	4463.60	4437.85	4462.35	9995	0	0
2021.08.13	4461.25	4470.10	4458.50	4468.10	8608	0	0
2021.08.16	4464.00	4483.25	4439.50	4477.00	15718	0	0
2021.08.17	4477.30	4478.80	4418.80	4443.30	24531	0	0
2021.08.18	4444.75	4455.50	4387.50	4389.75	21785	0	0
2021.08.19	4397.20	4420.80	4354.05	4409.90	41400	0	0
2021.08.20	4407.70	4446.45	4377.95	4441.95	27992	0	0
2021.08.23	4444.18	4491.30	4442.55	4485.80	15274	0	0
2021.08.24	4486.05	4497.55	4482.55	4488.30	11872	0	0
2021.08.25	4489.45	4503.45	4481.95	4498.95	11551	0	0
2021.08.26	4498.00	4499.00	4470.50	4475.75	20544	0	0
2021.08.27	4474.78	4515.65	4467.40	4511.90	14427	0	0
2021.08.30	4511.70	4539.95	4506.45	4535.70	8686	0	0
2021.08.31	4534.20	4547.20	4518.20	4532.95	16314	0	0
2021.09.01	4533.40	4544.65	4524.15	4526.15	11664	0	0
2021.09.02	4527.45	4547.95	4520.20	4540.70	11731	0	0
2021.09.03	4539.85	4553.10	4523.35	4537.60	14389	0	0
2021.09.06	4537.85	4551.85	4527.85	4548.53	5380	0	0
2021.09.07	4546.75	4547.00	4515.00	4521.45	12492	0	0
2021.09.08	4521.85	4528.60	4496.50	4515.50	21482	0	0
2021.09.09	4514.45	4532.65	4489.40	4493.65	20740	0	0
2021.09.10	4495.35	4521.70	4460.85	4467.70	22884	0	0
2021.09.13	4470.25	4497.25	4449.00	4481.00	29583	0	0
