<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.06.06	98.666	99.344	98.638	99.189	34594	0	26
2025.06.09	99.071	99.213	98.791	99.003	23953	0	26
2025.06.10	98.973	99.378	98.844	99.031	28533	0	26
2025.06.11	99.001	99.208	98.504	98.638	32760	0	26
2025.06.12	98.495	98.526	97.600	97.856	37592	0	26
2025.06.13	97.643	98.588	97.611	98.109	43865	0	26
2025.06.16	98.238	98.352	97.659	98.117	29508	0	26
2025.06.17	98.227	98.853	97.963	98.798	33645	0	26
2025.06.18	98.811	99.004	98.447	98.851	36607	0	26
2025.06.19	98.907	99.165	98.727	98.739	25145	0	26
2025.06.20	98.601	98.895	98.519	98.810	26289	0	26
2025.06.23	98.903	99.411	98.337	98.370	40326	0	27
2025.06.24	98.228	98.273	97.689	97.939	34310	0	26
2025.06.25	97.891	98.189	97.622	97.715	24634	0	26
2025.06.26	97.473	97.600	96.990	97.293	34622	0	26
2025.06.27	97.344	97.485	96.974	97.249	32490	0	26
2025.06.30	97.186	97.305	96.750	96.757	28552	0	26
2025.07.01	96.695	96.941	96.350	96.650	29016	0	26
2025.07.02	96.686	97.147	96.637	96.772	27937	0	26
2025.07.03	96.714	97.395	96.679	97.107	25961	0	26
2025.07.04	97.014	97.102	96.849	96.985	13547	0	26
2025.07.07	96.887	97.660	96.868	97.532	24488	0	26
2025.07.08	97.310	97.827	97.168	97.466	25052	0	26
2025.07.09	97.519	97.732	97.436	97.489	22052	0	26
2025.07.10	97.364	97.904	97.265	97.572	20339	0	26
2025.07.11	97.585	97.959	97.572	97.879	25198	0	26
2025.07.14	97.841	98.129	97.746	98.098	21233	0	26
2025.07.15	98.066	98.684	97.573	98.629	24110	0	26
2025.07.16	98.576	98.894	97.691	98.281	36164	0	26
2025.07.17	98.372	98.959	98.366	98.622	24202	0	26
2025.07.18	98.462	98.562	98.074	98.467	21618	0	26
2025.07.21	98.354	98.489	97.683	97.838	21616	0	26
2025.07.22	97.877	97.982	97.289	97.350	22825	0	26
2025.07.23	97.434	97.589	97.156	97.176	28911	0	26
2025.07.24	97.205	97.510	97.103	97.495	26239	0	26
2025.07.25	97.463	97.891	97.420	97.664	24672	0	26
2025.07.28	97.512	98.666	97.468	98.626	28160	0	26
2025.07.29	98.613	99.128	98.568	98.900	30168	0	26
2025.07.30	98.859	99.949	98.687	99.921	34258	0	26
2025.07.31	99.762	100.095	99.520	100.053	31169	0	26
2025.08.01	100.061	100.259	98.586	98.608	46808	0	26
2025.08.04	98.687	98.970	98.576	98.718	31193	0	26
2025.08.05	98.567	99.066	98.562	98.718	27492	0	26
2025.08.06	98.682	98.820	98.117	98.215	24041	0	26
2025.08.07	98.238	98.471	97.943	98.075	29968	0	26
2025.08.08	97.991	98.351	97.991	98.229	22153	0	26
2025.08.11	98.216	98.648	98.002	98.473	18007	0	26
2025.08.12	98.481	98.609	97.875	98.045	33636	0	26
2025.08.13	98.016	98.124	97.604	97.778	21280	0	26
2025.08.14	97.719	98.311	97.629	98.187	27414	0	26
2025.08.15	98.198	98.201	97.704	97.852	20572	0	26
2025.08.18	97.835	98.167	97.787	98.109	19557	0	26
2025.08.19	98.130	98.292	97.921	98.264	20032	0	26
2025.08.20	98.340	98.440	98.065	98.236	23305	0	26
2025.08.21	98.269	98.674	98.173	98.628	22354	0	26
2025.08.22	98.602	98.825	97.529	97.669	27924	0	26
2025.08.25	97.872	98.529	97.719	98.399	18836	0	26
2025.08.26	98.319	98.546	98.067	98.211	25111	0	26
2025.08.27	98.229	98.725	98.138	98.180	21572	0	26
2025.08.28	98.129	98.230	97.720	97.871	23099	0	26
2025.08.29	97.845	98.124	97.670	97.827	23254	0	26
2025.09.01	97.806	97.851	97.511	97.652	14559	0	26
2025.09.02	97.665	98.584	97.660	98.294	33075	0	26
2025.09.03	98.386	98.622	97.997	98.129	26676	0	26
2025.09.04	98.147	98.428	98.073	98.248	24078	0	26
2025.09.05	98.224	98.244	97.338	97.703	30135	0	26
2025.09.08	97.897	97.929	97.399	97.432	19718	0	26
2025.09.09	97.396	97.798	97.232	97.746	25049	0	26
2025.09.10	97.805	97.923	97.552	97.822	23063	0	26
2025.09.11	97.798	98.394	97.451	97.521	26893	0	26
2025.09.12	97.536	97.862	97.473	97.615	18716	0	26
2025.09.15	97.630	97.674	97.259	97.337	17410	0	16
2025.09.16	97.336	97.379	96.558	96.667	26199	0	16
2025.09.17	96.621	97.054	96.212	96.999	31738	0	16
2025.09.18	97.001	97.603	96.836	97.376	32559	0	16
2025.09.19	97.336	97.794	97.259	97.668	27460	0	16
2025.09.22	97.742	97.814	97.307	97.320	20238	0	16
2025.09.23	97.337	97.440	97.190	97.225	23260	0	16
2025.09.24	97.241	97.919	97.237	97.876	23376	0	16
2025.09.25	97.820	98.600	97.746	98.438	27438	0	16
2025.09.26	98.514	98.537	98.129	98.170	24244	0	16
2025.09.29	98.047	98.060	97.767	97.942	22896	0	16
2025.09.30	97.918	98.034	97.624	97.822	25834	0	16
2025.10.01	97.861	97.870	97.438	97.748	34328	0	16
2025.10.02	97.732	98.113	97.518	97.881	24066	0	16
2025.10.03	97.845	97.941	97.587	97.715	21691	0	16
2025.10.06	98.065	98.480	97.982	98.083	28043	0	16
2025.10.07	98.133	98.651	98.112	98.587	22741	0	16
2025.10.08	98.657	99.059	98.652	98.828	26358	0	16
2025.10.09	98.820	99.556	98.709	99.393	32059	0	16
2025.10.10	99.405	99.433	98.823	98.977	32073	0	16
2025.10.13	99.019	99.346	98.816	99.258	24478	0	16
2025.10.14	99.339	99.479	98.976	99.064	31909	0	16
2025.10.15	99.051	99.067	98.627	98.680	26937	0	16
2025.10.16	98.681	98.703	98.289	98.356	30287	0	16
2025.10.17	98.283	98.550	98.030	98.496	35427	0	16
2025.10.20	98.513	98.638	98.375	98.601	20913	0	16
2025.10.21	98.573	98.983	98.504	98.948	25872	0	16
2025.10.22	98.934	99.127	98.764	98.889	23291	0	16
2025.10.23	98.953	99.140	98.904	98.921	16407	0	16
2025.10.24	98.913	99.092	98.155	98.975	18842	0	16
