<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.06.04	12509.90	12557.90	12322.20	12427.80	38931	0	0
2020.06.05	12427.80	12861.50	12388.20	12758.70	61571	0	0
2020.06.08	12784.90	12926.20	12670.90	12910.90	38461	0	0
2020.06.09	12910.90	12942.70	12499.50	12611.70	58721	0	0
2020.06.10	12611.70	12760.30	12458.00	12475.50	46841	0	0
2020.06.11	12475.50	12493.30	11748.30	11836.30	85081	0	0
2020.06.12	11836.30	12165.80	11785.30	11993.80	60351	0	0
2020.06.15	11893.80	12113.30	11581.10	12109.30	84891	0	0
2020.06.16	12109.30	12429.50	12093.70	12289.20	49171	0	0
2020.06.17	12289.20	12428.40	12210.60	12339.50	38531	0	0
2020.06.18	12339.50	12475.80	12148.10	12249.00	56491	0	0
2020.06.19	12249.00	12426.70	12085.10	12087.10	52131	0	0
2020.06.22	11997.50	12383.30	11954.00	12332.20	52391	0	0
2020.06.23	12332.20	12599.00	12140.50	12405.50	84371	0	0
2020.06.24	12405.50	12500.90	12014.70	12166.90	73381	0	0
2020.06.25	12166.90	12336.90	11935.90	12314.90	65401	0	0
2020.06.26	12314.90	12348.50	12024.80	12059.50	39201	0	0
2020.06.29	11978.50	12314.00	11946.30	12290.00	42391	0	0
2020.06.30	12290.00	12402.40	12182.40	12342.60	38741	0	0
2020.07.01	12342.60	12395.40	12077.70	12281.70	57451	0	0
2020.07.02	12281.70	12653.80	12228.00	12575.50	55781	0	0
2020.07.03	12575.50	12658.40	12464.80	12574.80	38651	0	0
2020.07.06	12593.80	12838.30	12584.80	12736.30	36451	0	0
2020.07.07	12736.30	12812.00	12513.80	12518.50	37861	0	0
2020.07.08	12518.50	12667.40	12455.50	12597.80	34451	0	0
2020.07.09	12597.80	12703.10	12440.70	12556.67	48368	0	0
2020.07.10	12556.67	12727.75	12395.00	12718.75	50343	0	0
2020.07.13	12765.20	12874.50	12531.50	12562.95	48376	0	0
2020.07.14	12562.95	12791.40	12525.70	12747.85	34651	0	0
2020.07.15	12747.85	12996.00	12747.85	12919.45	32471	0	0
2020.07.16	12919.45	12948.41	12800.20	12860.79	23777	0	0
2020.07.17	12860.79	12969.69	12852.35	12954.46	14102	0	0
2020.07.20	12961.76	13095.80	12803.50	13073.25	47312	0	0
2020.07.21	13073.25	13311.90	13066.59	13090.85	47303	0	0
2020.07.22	13090.85	13197.90	13061.40	13131.65	23221	0	0
2020.07.23	13131.65	13215.00	12948.70	12996.95	39791	0	0
2020.07.24	12996.95	13029.40	12772.20	12806.15	32361	0	0
2020.07.27	12802.30	12908.10	12752.57	12888.17	22520	0	0
2020.07.28	12888.17	12976.70	12741.80	12784.71	36635	0	0
2020.07.29	12784.71	12894.05	12746.05	12893.05	18767	0	0
2020.07.30	12893.05	12894.85	12246.40	12523.68	92754	0	0
2020.07.31	12523.68	12542.88	12207.40	12337.56	48485	0	0
2020.08.03	12347.25	12698.80	12272.40	12658.25	54181	0	0
2020.08.04	12658.25	12769.10	12523.60	12612.56	44532	0	0
2020.08.05	12612.56	12759.70	12576.40	12610.15	36420	0	0
2020.08.06	12610.15	12800.10	12516.30	12657.75	52001	0	0
2020.08.07	12657.75	12707.55	12515.60	12707.55	33411	0	0
2020.08.10	12702.55	12775.30	12600.60	12737.83	31413	0	0
2020.08.11	12737.83	13049.40	12712.83	12858.31	55267	0	0
2020.08.12	12858.31	13103.00	12826.70	13060.45	35047	0	0
2020.08.13	13060.45	13090.70	12921.00	12969.45	24841	0	0
2020.08.14	12969.45	13016.30	12791.50	12854.25	33441	0	0
2020.08.17	12850.70	12962.30	12843.50	12921.59	16672	0	0
2020.08.18	12921.59	13055.10	12804.10	12873.68	45410	0	0
2020.08.19	12873.68	12995.60	12830.80	12926.88	27641	0	0
2020.08.20	12926.88	12938.68	12731.00	12861.85	35034	0	0
2020.08.21	12861.85	12938.00	12629.20	12785.61	54137	0	0
2020.08.24	12817.21	13108.50	12782.25	13062.95	40677	0	0
2020.08.25	13062.95	13223.90	13011.90	13094.66	39230	0	0
2020.08.26	13094.66	13260.88	13008.90	13249.71	34892	0	0
2020.08.27	13249.71	13249.71	13021.10	13083.05	29057	0	0
2020.08.28	13083.05	13193.40	12948.20	13065.15	47251	0	0
2020.08.31	13073.10	13153.10	12901.10	12933.85	36476	0	0
2020.09.01	12933.85	13130.20	12849.20	12999.15	49671	0	0
2020.09.02	12999.15	13354.80	12988.25	13342.87	38939	0	0
2020.09.03	13342.87	13463.20	12933.20	13022.67	73981	0	0
2020.09.04	13022.67	13128.20	12747.70	12935.23	67357	0	0
2020.09.07	12934.00	13138.30	12814.25	13121.75	46036	0	0
2020.09.08	13121.75	13160.70	12854.70	12924.69	41495	0	0
2020.09.09	12924.69	13317.20	12781.60	13254.31	74159	0	0
2020.09.10	13254.31	13319.03	13088.45	13124.45	33131	0	0
2020.09.11	13124.45	13258.10	13112.30	13177.25	23881	0	0
2020.09.14	13231.15	13339.70	13143.40	13157.15	31861	0	0
